Product Link,Product Name,Offered Price,Original Price
https://www.flipkart.com/infinix-hot-10-moonlight-jade-64-gb/p/itm05a303fc89d2e?pid=MOBFVX6YKTBGNRH8&lid=LSTMOBFVX6YKTBGNRH8Z92BPO&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_42&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFVX6YKTBGNRH8.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Infinix Hot 10 (Moonlight Jade, 64 GB)","₹9,499","₹11,999"
https://www.flipkart.com/infinix-hot-10-obsidian-black-64-gb/p/itm05a303fc89d2e?pid=MOBFVX6Y7DPSHEKZ&lid=LSTMOBFVX6Y7DPSHEKZE7FXEC&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_43&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFVX6Y7DPSHEKZ.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Infinix Hot 10 (Obsidian Black, 64 GB)","₹9,499","₹11,999"
https://www.flipkart.com/forme-d9/p/itmb8ba8c1317285?pid=MOBG2CJZHP7AHGEQ&lid=LSTMOBG2CJZHP7AHGEQ4CT67X&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_44&otracker=browse&fm=organic&iid=en_6HogH6qXp6RdI6GxwV1R1x6Isyk2%2FGcfG%2BM7EToXBJS%2B8XbReWuT3r1F0fc8J%2F0qF0QyU2r5CKXiuqJERj%2F7wQ%3D%3D&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,Forme D9,₹835,Not Available
https://www.flipkart.com/infinix-hot-10-amber-red-64-gb/p/itm05a303fc89d2e?pid=MOBFVX6YHMSDNJZH&lid=LSTMOBFVX6YHMSDNJZHACZZRN&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_45&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFVX6YHMSDNJZH.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Infinix Hot 10 (Amber Red, 64 GB)","₹9,499","₹11,999"
https://www.flipkart.com/redmi-9-power-electric-green-64-gb/p/itmca7d78e222ed7?pid=MOBFYZ7AVAXXB2TH&lid=LSTMOBFYZ7AVAXXB2THVSNL0U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_46&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFYZ7AVAXXB2TH.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"REDMI 9 Power (Electric Green, 64 GB)","₹10,499","₹13,999"
https://www.flipkart.com/realme-7i-fusion-green-128-gb/p/itm13f2c8bee336b?pid=MOBFVH83EA4GMX9E&lid=LSTMOBFVH83EA4GMX9EHF8G0W&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_47&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFVH83EA4GMX9E.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"realme 7i (Fusion Green, 128 GB)","₹12,999","₹14,999"
https://www.flipkart.com/redmi-9-prime-sunrise-flare-64-gb/p/itmf39267de2a027?pid=MOBFUTBVDZHZSG2P&lid=LSTMOBFUTBVDZHZSG2PDEKID5&marketplace=FLIPKART&store=tyy%2F4io&srno=b_2_48&otracker=browse&fm=organic&iid=7b5a1da8-6d48-4271-b24f-5553eab8b190.MOBFUTBVDZHZSG2P.SEARCH&ppt=None&ppn=None&ssid=n696y2k62o0000001619595827492,"Redmi 9 Prime (Sunrise Flare, 64 GB)","₹9,999","₹11,999"
https://www.flipkart.com/redmi-9-power-electric-green-64-gb/p/itmca7d78e222ed7?pid=MOBFYZ7AVAXXB2TH&lid=LSTMOBFYZ7AVAXXB2THVSNL0U&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_49&otracker=browse&fm=organic&iid=30cb3a12-bb29-4c97-88b8-a1860d1f3a14.MOBFYZ7AVAXXB2TH.SEARCH&ppt=None&ppn=None&ssid=7598pp0l9s0000001619595829047,"REDMI 9 Power (Electric Green, 64 GB)","₹10,499","₹13,999"
https://www.flipkart.com/oppo-f19-midnight-blue-128-gb/p/itm82f60569dc6db?pid=MOBGFGWNEYV3NZBV&lid=LSTMOBGFGWNEYV3NZBVEYDJRG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_50&otracker=browse&fm=organic&iid=en_cAhhuOX9u1yUBrZbJ9vpLaAwXxkyHiY2X8FSM4r6rGjSLXdC%2B4e1i4JXO%2FNkJrdFkF4A93hFAMBY9QiQQl8%2F4g%3D%3D&ppt=None&ppn=None&ssid=7598pp0l9s0000001619595829047,"OPPO F19 (Midnight Blue, 128 GB)","₹17,949","₹18,389"
https://www.flipkart.com/realme-narzo-30a-laser-blue-32-gb/p/itma78aeb1d764b5?pid=MOBGYFAXFQYTPYEF&lid=LSTMOBGYFAXFQYTPYEFHEOYGJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_51&otracker=browse&fm=organic&iid=30cb3a12-bb29-4c97-88b8-a1860d1f3a14.MOBGYFAXFQYTPYEF.SEARCH&ppt=None&ppn=None&ssid=7598pp0l9s0000001619595829047,"realme Narzo 30A (Laser Blue, 32 GB)","₹8,999","₹9,999"
https://www.flipkart.com/realme-narzo-30a-laser-black-32-gb/p/itma78aeb1d764b5?pid=MOBGYFAXAUENZFU3&lid=LSTMOBGYFAXAUENZFU3JULWX9&marketplace=FLIPKART&store=tyy%2F4io&srno=b_3_52&otracker=browse&fm=organic&iid=30cb3a12-bb29-4c97-88b8-a1860d1f3a14.MOBGYFAXAUENZFU3.SEARCH&ppt=None&ppn=None&ssid=7598pp0l9s0000001619595829047,"realme Narzo 30A (Laser Black, 32 GB)","₹8,999","₹9,999"
